               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04582,            0.043881,           0.0094601,             0.88792,             0.84437,             0.87254,              0.4123,             0.04217,            0.040015,           0.0079574,              0.0055,              0.0055,              0.0055
                  37,             0.04437,            0.049963,           0.0079727,             0.98374,              0.6011,             0.73691,             0.42266,            0.037391,            0.039951,           0.0079253,           0.0052981,           0.0052981,           0.0052981
                  38,            0.047319,             0.05229,            0.008532,             0.92158,             0.62262,             0.72971,             0.39152,            0.038922,            0.042285,           0.0078355,           0.0050966,           0.0050966,           0.0050966
                  39,            0.043395,            0.050999,           0.0074307,             0.78839,             0.84152,             0.84979,             0.43873,            0.038404,            0.043779,           0.0080957,            0.004896,            0.004896,            0.004896
                  40,            0.040876,            0.046705,            0.006229,             0.81392,             0.82857,             0.85356,             0.47246,            0.037767,            0.042449,           0.0076894,           0.0046965,           0.0046965,           0.0046965
                  41,            0.040465,            0.054329,           0.0071124,             0.95175,             0.82857,             0.86923,             0.46908,            0.037803,            0.043331,           0.0072638,           0.0044987,           0.0044987,           0.0044987
                  42,            0.042139,            0.047779,           0.0061062,             0.95766,             0.83956,             0.87351,             0.47247,            0.038874,            0.042607,           0.0070667,           0.0043028,           0.0043028,           0.0043028
                  43,            0.040036,            0.053961,           0.0069967,              0.9468,             0.83956,             0.87406,             0.44188,             0.03606,            0.042469,           0.0072343,           0.0041094,           0.0041094,           0.0041094
                  44,            0.042631,             0.05188,           0.0055349,             0.97376,             0.81404,             0.87465,             0.46796,            0.038067,            0.040633,           0.0075576,           0.0039188,           0.0039188,           0.0039188
                  45,            0.045667,             0.04542,            0.005808,              0.9748,             0.71749,             0.84786,             0.38091,            0.037994,              0.0443,           0.0073723,           0.0037314,           0.0037314,           0.0037314
                  46,            0.045713,            0.048623,           0.0062962,             0.95191,             0.82122,             0.87298,             0.48826,            0.035082,            0.040465,           0.0078278,           0.0035475,           0.0035475,           0.0035475
                  47,            0.038176,            0.049975,           0.0055846,             0.85942,             0.84505,             0.85629,             0.46592,            0.037078,            0.039886,           0.0072747,           0.0033676,           0.0033676,           0.0033676
                  48,            0.039312,            0.046449,           0.0055166,              0.8816,             0.84505,             0.83625,             0.49936,            0.034959,             0.04012,           0.0070854,            0.003192,            0.003192,            0.003192
